Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,中心総和1のPerfectIncorporation_wᴸ,中心総和1のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,中心総和1のCommonGround_wᴸ,中心総和1のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,中心総和1のPartialIncorporation_wᴸ,中心総和1のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᵁ
21,"[0.3636363922077926, 0.13333333000000058, 0.09090909805194798, 0.1000000024999998, 0.05454544311688327]","[0.39999999000000175, 0.24999997000000124, 0.21818177246753284, 0.19999999500000082, 0.18749997750000139]","[0.36923083923076827, 0.13333333200000003, 0.09230770980769218, 0.05993605226922841, 0.06153841903846204]","[0.3999999960000001, 0.24999997000000096, 0.24615367615384862, 0.1999999980000001, 0.1875000074999998]","[0.36548229871065896, 0.12994925376378985, 0.09137057467766482, 0.09746194432284261, 0.06091366228511061]","[0.3898477612913696, 0.24365482580710707, 0.24365464914044244, 0.19492388064568505, 0.18274114935532948]",E,r,E,r,E,r,"[0.3636363922077924, 0.15151515722943404, 0.1250000649999977, 0.1818181961038962, 0.06666666666666667]","[0.39999998000000314, 0.23977278691558493, 0.2, 0.18749997750000083, 0.07272721558441503]","[0.3692308392307685, 0.18461541961538425, 0.12500002899999943, 0.1487179232417583, 0.06666666999999991]","[0.3999999914285716, 0.2516024662692323, 0.1999999957142858, 0.1874999955000001, 0.06666666999999991]","[0.375, 0.14583334761904698, 0.12500003200000057, 0.1875, 0.06666666952380941]","[0.39999998857142904, 0.24583329847618995, 0.19999999428571452, 0.1875, 0.06666666952380941]"
22,"[0.2500000199999922, 0.15000002500000376, 0.12500001000000094, 0.10344828762677105, 0.03448275685598422]","[0.41379308227181144, 0.2999999833333305, 0.249999966666673, 0.2999999499999908, 0.12500000999999594]","[0.2736842305263164, 0.15306124055360779, 0.1368421152631583, 0.028523297999567918, 0.0344827568559832]","[0.41379308227179673, 0.30612243940513556, 0.2105262824561389, 0.3061224394051335, 0.1368421152631582]","[0.26576201696193524, 0.1456580321614198, 0.1328810084809672, 0.10045381698241133, 0.03348459997453]","[0.4018151996943564, 0.29131602262071, 0.20443227202199546, 0.29131602262070855, 0.13288100848096762]",E,r,E,r,E,r,"[0.250000020000001, 0.2068965752535441, 0.15000001287878817, 0.15517241438133866, 0.06896551371196835]","[0.4137930822718102, 0.250000020000001, 0.18103450628803264, 0.24999993999999703, 0.06896551371196835]","[0.2736842305263157, 0.2068965667241369, 0.1530612356626353, 0.14567207729858894, 0.06122448942554799]","[0.4137931334482738, 0.27368419885964934, 0.17241373310345232, 0.23834584552585175, 0.06122448942554799]","[0.27591412826232203, 0.20858228331119327, 0.15752309099376144, 0.17381849633529622, 0.034763860066595376]","[0.41716456662238655, 0.27591412826232203, 0.17381849633529622, 0.2194917183939043, 0.06300923141692297]"
23,"[0.29824561653509213, 0.15384616769230522, 0.1000000103960332, 0.07894739842105915, 0.05128205589743478]","[0.3999999821782273, 0.3157894511842019, 0.3076922753846256, 0.19999999108911545, 0.14912280826754606]","[0.2982456165350875, 0.1558441693441584, 0.1010101137373728, 0.01029089187102239, 0.051948056448052164]","[0.4040403949494966, 0.31578945118420965, 0.3116883001883105, 0.20202019747474764, 0.14912280826754307]","[0.2883799874109412, 0.152671764717558, 0.09669212458778628, 0.07633590835877829, 0.05089058182251907]","[0.3867684383511447, 0.30534349093511437, 0.3053434909351145, 0.19338421917557236, 0.14418999370547075]",E,r,E,r,E,r,"[0.3076923446153806, 0.2000000285714284, 0.15789479684210728, 0.15384614230769356, 0.06477726505060882]","[0.3999999857142858, 0.31578945118420976, 0.15789479684210728, 0.16210519172932142, 0.07999999714285716]","[0.3116883209190813, 0.2020202274747478, 0.157894725592105, 0.15523657299375354, 0.058783356652756025]","[0.40404039494949473, 0.31578945118421, 0.157894725592105, 0.15584414565184773, 0.08080807898989895]","[0.30769230769230776, 0.20242917680981184, 0.15789472559210502, 0.15384614540028463, 0.06477737013109269]","[0.4048582934981654, 0.31578945118421003, 0.15789472559210502, 0.15384614540028463, 0.08097165869963308]"
24,"[0.25000006299999533, 0.16666664566666756, 0.15517246045977032, 0.10344826186206962, 0.0396825436825389]","[0.33333329133333517, 0.31034478558620454, 0.26666664266666795, 0.25000006299999533, 0.13333332133333364]","[0.2666666606666658, 0.16011251455056144, 0.15555556705555618, 0.015492294557322409, 1.0e-8]","[0.3409741890343859, 0.3409741890343856, 0.2666666606666668, 0.32022458410112375, 0.1333333303333329]","[0.2512538329461572, 0.15085832014672887, 0.14656475088525733, 0.09314030582065813, 0.037052842667625166]","[0.3212665014104506, 0.321266501410385, 0.2512538329461581, 0.3017161952935009, 0.1256269164730786]",E,r,E,r,E,r,"[0.3103449209195447, 0.26666666066666667, 0.1666666816666661, 0.13333337533333345, 0.06896550790804555]","[0.31111108911111107, 0.26666666066666667, 0.20555553405555577, 0.17222222772222312, 0.08333334083333305]","[0.3111111341111106, 0.26666666066666683, 0.16011251455055964, 0.1333333303333334, 0.06590259061474302]","[0.3409742128298385, 0.2752806188764085, 0.20223710054542704, 0.15773006312845034, 0.08665177434346222]","[0.3142679314174238, 0.26937248666830216, 0.16173714821699697, 0.13468624333415108, 0.06657128477165022]","[0.3444339772896308, 0.26937248666830216, 0.1839955479467026, 0.14773827804728656, 0.10782461563955353]"
25,"[0.25000004153845434, 0.16666670358973878, 0.10000001702702771, 0.09677420783410218, 0.041666655128206345]","[0.39999997081081134, 0.24999993076924001, 0.25000004153845434, 0.1999999854054049, 0.12903224020737447]","[0.25263162228069874, 0.18947366921052808, 0.10169492841213136, 0.09677420783410175, 0.04210525982456081]","[0.40677965154326656, 0.3254869726350089, 0.2526316222806988, 0.20338982577163278, 0.1290322402073726]","[0.26515561476182414, 0.19886666357136595, 0.10385260388240822, 0.1005025216819971, 0.04419259190474807]","[0.41541034177963054, 0.265155551428488, 0.26515561476182414, 0.20770517088981524, 0.13400332533789833]",E,r,E,r,E,r,"[0.33333340717948223, 0.19354841566820122, 0.19354841566820122, 0.12499996538461769, 0.08145166273096396]","[0.3999999708108114, 0.1999999854054057, 0.24999993076923538, 0.134139626065936, 0.09166671126125908]","[0.3789473384210516, 0.19354841566820355, 0.19354841566820355, 0.10324322011800277, 0.042105259824561286]","[0.4067796360169492, 0.2033898180084746, 0.2526315589473677, 0.15800971903269423, 0.0677966182944915]","[0.37140571437241215, 0.19169333026700938, 0.19169333026700938, 0.12380190479080405, 0.05591063449686476]","[0.39616613585575416, 0.19808306792787708, 0.2476038095816081, 0.15761437116041024, 0.06602770128025084]"
26,"[0.3749987999999409, 0.12499959999998028, 0.09677421140554027, 0.09375130000006282, 0.043749539999977986]","[0.4137930893306243, 0.21874769999988744, 0.20689654466531374, 0.20689652760649027, 0.12903225235022708]","[0.4016738101673508, 0.1338912700557817, 0.10084035098739942, 0.10029984178416303, 0.050209126687594495]","[0.41379309444827583, 0.25104563343796593, 0.20689654722413792, 0.20689654722413822, 0.13445377798319216]","[0.4067797788559286, 0.13559325961864285, 0.10169496283898104, 0.10169494471398216, 0.05084737277366091]","[0.4067797788559286, 0.2542368638683045, 0.2033898894279643, 0.20338988942796427, 0.13559325961864285]",E,r,E,r,"[0.4137930919525082, 0.20689654394532137, 0.12931008476527497, 0.10344827298812705, 0.06896551532541803]","[0.4137930919525084, 0.20689657375769238, 0.2068965459762541, 0.1810347640114775, 0.06896551532541803]","[0.37500007999999996, 0.19354842281106216, 0.12284482817444115, 0.18750003999999998, 0.06896551488843819]","[0.41379308933062914, 0.20689652760649152, 0.1628892652498094, 0.18750003999999998, 0.06896551488843819]","[0.4016738101673589, 0.2016807019747896, 0.1268430621994595, 0.18350178038674678, 0.06896552057471252]","[0.413793123448275, 0.2068965133908062, 0.1268430621994595, 0.20083690508367943, 0.06896552057471252]","[0.4137930867816104, 0.20689653595490837, 0.1293100854730838, 0.1810347686515827, 0.06896551570291785]","[0.4137930942175071, 0.20689653595490837, 0.1293100854730838, 0.1810347686515827, 0.06896551570291785]"
27,"[0.2608695352173892, 0.13043480260869672, 0.13043478260869573, 0.13043477260869515, 0.043956048804529045]","[0.34848479848484737, 0.30769228648018493, 0.3076922589044261, 0.2608695352173899, 0.08695651173912974]","[0.2727273260606228, 0.13953490497092808, 0.13953487809593296, 0.05723404027935951, 0.04469274103016814]","[0.3484847984848293, 0.31284915141117514, 0.31284915141117114, 0.2790697561918593, 0.09302325206395536]","[0.2576647147093145, 0.14171557764220422, 0.14171556868387009, 0.1288323206879865, 0.0415283734789117]","[0.3292381284248518, 0.29069857855238246, 0.2906985785523827, 0.28343111945107213, 0.09447703981702404]",E,r,E,r,E,r,"[0.2608696332173939, 0.2570473804649592, 0.23745816858599295, 0.13636366303030206, 0.043956048804529066]","[0.30769225890442625, 0.27272725272727344, 0.23745816858599295, 0.15384614324009266, 0.08695651373913012]","[0.27906991744186804, 0.2672176366998101, 0.2188158951532619, 0.13636366303030656, 0.044692741030167425]","[0.3128491514111737, 0.27272732606061306, 0.2188158951532619, 0.15642457570558685, 0.09302319831395059]","[0.2875900940499381, 0.27145460061437976, 0.19663051152558705, 0.13572730030718988, 0.06786363190581451]","[0.32365729659009684, 0.27145460061437976, 0.19663051152558705, 0.15312819896576219, 0.09586325390126521]"
28,"[0.23529409193277348, 0.166666680416667, 0.17647053252100842, 0.1176471188235298, 0.041666666166666665]","[0.3529410650420159, 0.2727272502272716, 0.2727272502272713, 0.23529409193277348, 0.1249999965]","[0.2499999850000003, 0.16666667766666754, 0.18749999357142932, 0.10037882923592803, 1.0e-8]","[0.37499998714285865, 0.27272726672727265, 0.2727272667272721, 0.2499999914285708, 0.12499999250000014]","[0.24197984482746546, 0.16131990564968318, 0.18148485825295202, 0.12098992594314448, 0.0403299747261462]","[0.36296971650590404, 0.26397800342675354, 0.2639780034267538, 0.24197984482746546, 0.12098992241373273]",E,r,E,r,E,r,"[0.2500000300000005, 0.17647053252101075, 0.23529423764705415, 0.13636365367132958, 0.09090910244755306]","[0.27272730734265915, 0.25, 0.2727272565734257, 0.22459882004172288, 0.09090910244755306]","[0.2500000049999999, 0.18750001320512832, 0.2500000049999999, 0.1363636536713292, 0.09090910244755279]","[0.2727273073426584, 0.24999998500000029, 0.2727272565734261, 0.19886356931235238, 0.09090910244755279]","[0.2521008689440659, 0.20168067360127784, 0.25210083869196565, 0.13750956583057133, 0.09167304388704756]","[0.2857142814479622, 0.25210083869196565, 0.27501908046527845, 0.16042776455281782, 0.09167304388704756]"
29,"[0.324324339324313, 0.16216216966216132, 0.18181818534760522, 0.09090909267378273, 0.02702702827702709]","[0.38709676501708096, 0.24324323136824774, 0.32432433932431204, 0.19354838250854023, 0.18181817240641263]","[0.2080526356074667, 0.1621621696621618, 0.18181818631818297, 0.09090909315909189, 1.0e-8]","[0.3870967693935474, 0.27027023652026716, 0.3243243393243268, 0.19354838469677396, 0.18181817531818062]","[0.30264035990656757, 0.1513201799532836, 0.16966200912943952, 0.08483100456471977, 0.025220029992213927]","[0.3612158698304193, 0.25220025367213983, 0.30264035990656757, 0.1806079349152097, 0.16966199812943947]",E,r,E,r,E,r,"[0.3243243393243235, 0.1818181870355731, 0.1818181870355731, 0.10810811310810782, 0.08108108483108087]","[0.3870967435813035, 0.2432432313682439, 0.2432432313682439, 0.1818181631225298, 0.09090908873517789]","[0.3008639565171398, 0.18181818631818183, 0.18181818631818183, 0.10810811310810793, 0.08108108483108095]","[0.3870967554435477, 0.1935483922530244, 0.2929380704834629, 0.18181816706818182, 0.0909090876590909]","[0.32056407756948674, 0.17971015400529172, 0.1797101540052917, 0.10685469252316225, 0.08014101939237168]","[0.38260867918715896, 0.2137093393325551, 0.2671366855941363, 0.1797101268241319, 0.08985507156641379]"
30,"[0.2608695632819067, 0.1818181884848511, 0.0909090942424251, 0.0869565210939689, 0.05434782753856962]","[0.41379308527519376, 0.26086956328190636, 0.2608695632819067, 0.20689654263759835, 0.18181817381818038]","[0.2608695632819064, 0.19047619714285768, 0.09523809857142897, 0.06309063908466568, 0.05434782753856889]","[0.4158415748937111, 0.26086956328190913, 0.2608695632819064, 0.20792078744685538, 0.1904761854761902]","[0.2551787367372385, 0.19563703923530998, 0.097818519617655, 0.08505957891241284, 0.05316223843240758]","[0.40476625734790417, 0.2551787367372381, 0.2551787367372385, 0.20238312867395217, 0.19563702756864287]",E,r,E,r,E,r,"[0.26086957556222, 0.18181821781818092, 0.18181817381818202, 0.1383789003725665, 0.05911329789645665]","[0.41379308527519654, 0.2608695597001493, 0.2608695597001493, 0.1818181738181821, 0.09090908690909101]","[0.2576102377979963, 0.1904762204761907, 0.1739745574861737, 0.14285713035714276, 0.05940594194405931]","[0.41584157340841665, 0.26086955771739134, 0.26086955771739134, 0.14285713035714276, 0.09523809273809522]","[0.26216101535762293, 0.19801981877937208, 0.1924236223090054, 0.11945758475321645, 0.06930692747624614]","[0.41584156485747686, 0.262160995258613, 0.262160995258613, 0.11945758475321645, 0.09900989119661786]"
31,"[0.24999998666666579, 0.14285722535713458, 0.1250000200000014, 0.10000000642857045, 0.04761902261905009]","[0.3999999971428572, 0.28571424071429014, 0.24999998666666579, 0.28571413571430054, 0.1428570678571503]","[0.2580645241290314, 0.15000001937499852, 0.12903226206451746, 0.05483871309408668, 1.0e-8]","[0.399999995999999, 0.2999999887500005, 0.2580645034623657, 0.2999999887500008, 0.14999999437500033]","[0.25747127291136646, 0.1379310539644224, 0.12873563645568328, 0.09655173170366707, 0.045977009654807555]","[0.3862068982432404, 0.2758620579288451, 0.2574712522446999, 0.27586205792884533, 0.13793102896442266]",E,r,E,r,E,r,"[0.2500000400000013, 0.20000000333333312, 0.14285712035714196, 0.14999999999999997, 0.05000000666666621]","[0.39999999333333375, 0.24999998666666623, 0.19999999666666687, 0.25892844559523276, 0.06249999666666656]","[0.2580645473790321, 0.2000000033333334, 0.15000001156249976, 0.14999998999999975, 0.05000001333333365]","[0.39999998999999986, 0.2580645086290323, 0.2000000033333334, 0.26935480527217776, 0.06451612715725807]","[0.2724014673101754, 0.2043010738958261, 0.1612903349375649, 0.15322580542186956, 0.05107527820257901]","[0.40860213806302975, 0.2724014264073978, 0.2043010738958261, 0.20430104526388176, 0.06810035660184945]"
32,"[0.2666666780952379, 0.17307697974358974, 0.11538459538461532, 0.07692306358974363, 0.04411767039215772]","[0.39999997428571477, 0.23076919076923064, 0.2307691907692309, 0.2666666780952379, 0.11538459538461539]","[0.2666666791666671, 0.17307697974358857, 0.1153845953846153, 0.07692306358974425, 0.04411765705882263]","[0.39999996999999843, 0.2796003541591246, 0.23076919076923277, 0.29807691474358977, 0.11538459538461636]","[0.27334044275427544, 0.17740850969055957, 0.1182722820159302, 0.07884818801062014, 0.04522177430020757]","[0.4100106212742709, 0.23654456403186053, 0.23654456403186044, 0.3055367718744853, 0.11827228201593028]",E,r,E,r,E,r,"[0.34615395948718, 0.1911764205882361, 0.2, 0.13846144512820474, 0.08800929310708683]","[0.3823528411764722, 0.2, 0.2, 0.13846144512820474, 0.1153845953846153]","[0.3461539594871762, 0.1911764605882359, 0.1999999871428572, 0.13088240079831692, 0.09558823029411795]","[0.3823529211764718, 0.1999999871428572, 0.1999999871428572, 0.1384614708424935, 0.11538459538461597]","[0.3461539594871759, 0.19117645294117835, 0.20000000000000007, 0.13846144512820824, 0.08800919604825685]","[0.3823529058823567, 0.20000000000000007, 0.20000000000000007, 0.13846144512820824, 0.11538459538461604]"
33,"[0.30769225242915305, 0.10526315389473512, 0.12500001176471448, 0.1250000117647167, 0.030769228663967713]","[0.31578946168420613, 0.3076922866396802, 0.31578946168421107, 0.30769225242915305, 0.10526315389473721]","[0.22704521041865305, 0.11111110682539671, 0.1219510995121966, 0.12195109951219663, 1.0e-8]","[0.3333333204761897, 0.31496058892125883, 0.3333333204761901, 0.32520313703252196, 0.1111111068253967]","[0.30212472225441456, 0.10406517001064781, 0.11421789018154592, 0.114217890181546, 0.030212472225441524]","[0.3121955100319436, 0.3021246587544112, 0.3121955100319437, 0.3045810063174583, 0.1040651700106477]",E,r,E,r,E,r,"[0.30769235506072695, 0.2500000342857127, 0.15384614331983845, 0.1578947688421043, 0.06250000857142818]","[0.31578946168421096, 0.2807017437192985, 0.18142709106998417, 0.193572823215734, 0.06418693468440212]","[0.3149606524212601, 0.24390250652438872, 0.15748032621063004, 0.16666669726666739, 0.06504064790650411]","[0.33333332973333324, 0.2592592420592588, 0.1757000830342365, 0.21861586693721696, 0.06504064790650411]","[0.32521402663896026, 0.24589357171248635, 0.1626069907100983, 0.1680272583517986, 0.06557159845598133]","[0.33605445137460893, 0.2613756698849204, 0.1762897550931336, 0.19255044747048333, 0.06641623030752891]"
34,"[0.27272724272728577, 0.13793102630094065, 0.1034482894984329, 0.09900990483625328, 0.0396039619345023]","[0.41379307890282196, 0.2727272427272859, 0.2727272427272944, 0.20689653945141206, 0.16831679937547472]","[0.27272726629870253, 0.14285713910714415, 0.1071428718303657, 0.09900990483625241, 0.02163434054944434]","[0.42857141732143256, 0.27272726629870336, 0.2727272662986821, 0.2142857086607175, 0.16831681879855537]","[0.2744865928084513, 0.1388207602709404, 0.10411558770320199, 0.09964857477559794, 0.03985942991023924]","[0.4164622808128212, 0.2744865928084513, 0.2744864828084462, 0.2082311404064106, 0.1694025576954394]",E,r,E,r,E,r,"[0.3030303430302946, 0.18285797691055786, 0.19801980967250607, 0.13636362136363953, 0.06896551315047093]","[0.4137930789028256, 0.27272724272727905, 0.21632165293245065, 0.13636362136363953, 0.07155713994633611]","[0.3030303273160178, 0.19801980967250563, 0.1656165703031413, 0.1363636331493505, 0.07142856955357178]","[0.42857141732143067, 0.27272726629870114, 0.21632164507530355, 0.1363636331493505, 0.07155712816062704]","[0.3030303344588758, 0.19801980582635176, 0.18285795547350392, 0.13636363636363635, 0.06896551461950115]","[0.41379308771700685, 0.2727272727272727, 0.2163216161192586, 0.13636363636363635, 0.07155714033095661]"
35,"[0.23076921576923007, 0.14102565352564103, 0.10526315696140368, 0.10465119006342588, 0.034883730021142034]","[0.3157894708842102, 0.3157894708842114, 0.2325580958985188, 0.23076921576923007, 0.11627904794925942]","[0.23076926451923208, 0.14102562102564026, 0.1081081456081097, 0.1081081456081097, 0.0373831836812044]","[0.3364485936863969, 0.4612339089482285, 0.2307692645192314, 0.23076926451923208, 0.11538460788461484]","[0.24620062073731017, 0.15045594857923375, 0.11854102546082176, 0.11854102546082172, 0.039513675153607236]","[0.35562307638246515, 0.3556230763824652, 0.24620062073731017, 0.24620062073731017, 0.12310031036865525]",E,r,E,r,E,r,"[0.2820513070512834, 0.17948718948718004, 0.15789472784210554, 0.10465119006342659, 0.07692307192307665]","[0.3157894556842111, 0.3157894556842111, 0.23076921576922996, 0.23076921576922996, 0.07692307192307665]","[0.2187618350899846, 0.23076921576923048, 0.16216207966215868, 0.11214952556742341, 0.07692308817307712]","[0.33644857670227024, 0.32432415932431735, 0.23076921576923048, 0.23076921576923048, 0.07692308817307712]","[0.2827508385859871, 0.17993243624085303, 0.15828629152588175, 0.11138672727844642, 0.07711388728295998]","[0.3341601227952278, 0.3165725830517635, 0.2313416129779602, 0.2313416129779602, 0.07711388728295998]"
