与えた重要度,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

実行回数,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],区間幅の総和
152,0.124206, 0.331217,0.124206, 0.320866,0.124206, 0.331217,0.031052, 0.167787,0.041402, 0.188451,0.031052, 0.184338,1.047752
153,0.093352, 0.248938,0.152757, 0.356433,0.073058, 0.219173,0.076379, 0.224044,0.076379, 0.267325,0.025460, 0.186703,1.005233
154,0.099072, 0.297217,0.069351, 0.288961,0.069351, 0.329415,0.046234, 0.293406,0.046234, 0.254285,0.017338, 0.189138,1.304843
155,0.139717, 0.279434,0.104788, 0.261969,0.104788, 0.231256,0.104788, 0.288166,0.069858, 0.244505,0.026197, 0.144535,0.899729
156,0.188175, 0.291671,0.188175, 0.291671,0.188175, 0.282262,0.094087, 0.181902,0.047044, 0.109584,0.037635, 0.099622,0.513421
157,0.158044, 0.316088,0.119895, 0.255659,0.073978, 0.221934,0.102264, 0.264181,0.052681, 0.206962,0.018495, 0.209817,0.949286
158,0.090123, 0.216295,0.146450, 0.336834,0.146450, 0.336834,0.073225, 0.205821,0.048817, 0.164582,0.029290, 0.205280,0.931293
159,0.148844, 0.289419,0.129900, 0.331968,0.091596, 0.259523,0.075603, 0.232676,0.024807, 0.164242,0.037211, 0.214210,0.984075
160,0.097690, 0.268647,0.130253, 0.293070,0.097690, 0.268647,0.071047, 0.248665,0.065127, 0.248665,0.024422, 0.186076,1.027541
161,0.171630, 0.286050,0.132023, 0.198035,0.171630, 0.286050,0.085815, 0.177548,0.085815, 0.200235,0.057210, 0.147957,0.591752
162,0.069116, 0.230385,0.089274, 0.334779,0.064927, 0.246274,0.064927, 0.298663,0.064927, 0.298663,0.019839, 0.218226,1.253982
163,0.171941, 0.369673,0.073818, 0.216052,0.085971, 0.308061,0.042985, 0.241482,0.057314, 0.221281,0.017194, 0.194230,1.101556
164,0.128594, 0.305412,0.128594, 0.335953,0.070727, 0.216110,0.064297, 0.265226,0.064297, 0.247544,0.016074, 0.157171,1.054831
165,0.228287, 0.389990,0.114143, 0.275847,0.114143, 0.275847,0.057072, 0.175178,0.028536, 0.127188,0.038048, 0.175721,0.839542
166,0.132523, 0.309221,0.132523, 0.287134,0.079514, 0.238542,0.132523, 0.309221,0.026505, 0.159028,0.044174, 0.149089,0.904473
167,0.129319, 0.284501,0.111818, 0.216422,0.174580, 0.343341,0.087290, 0.193978,0.058193, 0.204680,0.034916, 0.160961,0.807767
168,0.116875, 0.262969,0.148750, 0.386337,0.074375, 0.249983,0.045451, 0.202125,0.090903, 0.230098,0.018594, 0.173542,1.010104
169,0.124045, 0.283696,0.098202, 0.261873,0.056116, 0.238492,0.062023, 0.261873,0.078562, 0.274967,0.032734, 0.227416,1.096636
170,0.152744, 0.277716,0.109929, 0.235308,0.094979, 0.260062,0.054965, 0.219182,0.094979, 0.291269,0.021986, 0.186880,0.940836
171,0.127415, 0.286683,0.076449, 0.267571,0.127415, 0.286683,0.063707, 0.243247,0.063707, 0.243247,0.031854, 0.182021,1.018905
172,0.091195, 0.282706,0.149229, 0.343227,0.091195, 0.227989,0.045598, 0.213397,0.074614, 0.268612,0.029846, 0.182391,1.036644
173,0.160229, 0.336480,0.097062, 0.224320,0.112160, 0.280400,0.080114, 0.202511,0.056080, 0.210300,0.040057, 0.200286,0.908596
174,0.099710, 0.274203,0.105463, 0.342753,0.074783, 0.290022,0.026366, 0.228502,0.039172, 0.244824,0.037391, 0.236811,1.234232
175,0.068251, 0.263697,0.106867, 0.319611,0.061529, 0.297392,0.056402, 0.263209,0.035622, 0.247301,0.030765, 0.249356,1.281128
176,0.137457, 0.320733,0.137457, 0.320733,0.103093, 0.257732,0.082474, 0.247423,0.045819, 0.154639,0.027491, 0.164948,0.932417
177,0.139616, 0.325771,0.139616, 0.325771,0.083770, 0.223386,0.093077, 0.251309,0.046539, 0.157068,0.046539, 0.167539,0.901687
178,0.148296, 0.333667,0.074148, 0.278056,0.090626, 0.302085,0.037074, 0.200330,0.051786, 0.225001,0.038840, 0.220091,1.118460
179,0.127061, 0.228710,0.150356, 0.267299,0.186648, 0.311080,0.093324, 0.200474,0.063530, 0.211534,0.031108, 0.128876,0.695946
180,0.133860, 0.267720,0.100395, 0.301185,0.057369, 0.301185,0.073015, 0.255551,0.028684, 0.255551,0.036507, 0.188979,1.140341
181,0.171539, 0.300193,0.171539, 0.328783,0.085769, 0.188493,0.085769, 0.243013,0.057180, 0.158344,0.042885, 0.166494,0.770639
