Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
91,2,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,91
91,3,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,0.033333283,0.072222067,1,,,,,FALSE,91
93,1,0.945945946,1,1,0.378378378,0.383838384,0.383838384,0.383838384,,,,,,,,93,FALSE
93,2,0.91875,0.958333333,1.045454545,0.4125,0.434782609,0.416666667,0.454545455,,,,,,,,93,FALSE
93,3,1,1,1,0.233333333,0.233333333,0.233333333,0.233333333,0.083783569,0.127272613,1,,,,,FALSE,93
94,1,0.958333333,1,1,0.25,0.25,0.25,0.25,,,,,,,,FALSE,94
94,2,0.966666667,1,1,0.266666667,0.266666667,0.266666667,0.266666667,,,,,,,,FALSE,94
94,3,0.977777778,1,1,0.355555556,0.356589147,0.356589147,0.356589147,0.066666535,0.124903006,0.983653427,,,,,94,FALSE
95,1,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,95
95,2,0.948717949,0.986111111,1.014285714,0.358974359,0.366197183,0.361111111,0.371428571,,,,,,,,95,FALSE
95,3,1,1,1,0.322344322,0.322344322,0.322344322,0.322344322,0.048533759,0.087454054,0.993103467,,,,,FALSE,95
96,1,0.916666667,0.963888889,1.038922156,0.401960784,0.42074928,0.405555556,0.437125749,,,,,,,,96,FALSE
96,2,0.952380952,0.979166667,1.02173913,0.285714286,0.29787234,0.291666667,0.304347826,,,,,,,,96,FALSE
96,3,0.964285714,1,1,0.214285714,0.214285714,0.214285714,0.214285714,0.016806543,0.157349214,0.993827227,,,,,FALSE,96
97,1,0.941326531,1,1,0.403061224,0.403061224,0.403061224,0.403061224,,,,,,,,FALSE,97
97,2,1,1,1,0.135135135,0.135135135,0.135135135,0.135135135,,,,,,,,FALSE,97
97,3,0.916666667,0.983333333,1.017241379,0.366666667,0.372881356,0.366666667,0.379310345,0.053410484,0.100719255,0.986403849,,,,,FALSE,97
99,1,0.974358974,1,1,0.282051282,0.282051282,0.282051282,0.282051282,,,,,,,,FALSE,99
99,2,0.925,0.991666667,1.008474576,0.35,0.352941176,0.35,0.355932203,,,,,,,,FALSE,99
99,3,1,1,1,0.222222222,0.222222222,0.222222222,0.222222222,0.093162171,0.157264766,1.000855379,,,,,FALSE,99
100,1,0.930555556,1,1,0.305555556,0.305555556,0.305555556,0.305555556,,,,,,,,FALSE,100
100,2,0.975,1,1,0.25,0.254545455,0.254545455,0.254545455,,,,,,,,100,FALSE
100,3,0.916666667,1,1,0.388888889,0.4,0.4,0.4,0.066666611,0.202525045,0.985074647,,,,,100,FALSE
101,1,0.986486486,1,1,0.27027027,0.27027027,0.27027027,0.27027027,,,,,,,,FALSE,101
101,2,0.974358974,1,1,0.282051282,0.282051282,0.282051282,0.282051282,,,,,,,,FALSE,101
