Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
117,1,0.96875,1,1,0.1875,0.1875,0.1875,0.1875,,,,,,,,FALSE,117
117,2,1,1,1,0.181818182,0.181818182,0.181818182,0.181818182,,,,,,,,FALSE,117
117,3,0.97826087,0.97826087,1.022727273,0.304347826,0.311111111,0.304347826,0.318181818,0.552370976,0.55237136,0.993130507,,,,,FALSE,117
118,1,1,1,1,0.273809524,0.273809524,0.273809524,0.273809524,,,,,,,,FALSE,118
118,2,0.969135802,1,1,0.209876543,0.210526316,0.210526316,0.210526316,,,,,,,,118,FALSE
118,3,1,1,1,0.179487179,0.179487179,0.179487179,0.179487179,0.452279144,0.495686214,1.02147774,,,,,FALSE,118
119,1,0.985714286,1,1,0.257142857,0.257142857,0.257142857,0.257142857,,,,,,,,FALSE,119
119,2,1,1,1,0.213333333,0.213333333,0.213333333,0.213333333,,,,,,,,FALSE,119
119,3,1,1,1,0.17989418,0.17989418,0.17989418,0.17989418,0.441058091,0.455343815,0.991449432,,,,,FALSE,119
121,1,0.9875,1,1,0.175,0.175,0.175,0.175,,,,,,,,FALSE,121
121,2,0.976190476,1,1,0.238095238,0.238095238,0.238095238,0.238095238,,,,,,,,FALSE,121
121,3,0.97826087,1,1,0.304347826,0.307692308,0.307692308,0.307692308,0.533954163,0.554944761,0.95204885,,,,,121,FALSE
123,1,0.982608696,0.982608696,1.018018018,0.295652174,0.300884956,0.295652174,0.306306306,,,,,,,,FALSE,123
123,2,0.969135802,1,1,0.209876543,0.210526316,0.210526316,0.210526316,,,,,,,,123,FALSE
123,3,0.982142857,1,1,0.25,0.25,0.25,0.25,0.477512038,0.528195271,0.951584492,,,,,FALSE,123
124,1,0.980769231,1,1,0.192307692,0.192307692,0.192307692,0.192307692,,,,,,,,FALSE,124
124,2,1,1,1,0.047619048,0.047619048,0.047619048,0.047619048,,,,,,,,FALSE,124
124,3,0.97515528,0.97515528,1.026143791,0.310559006,0.318471338,0.310559006,0.326797386,0.55781148,0.557811608,1.058005804,,,,,FALSE,124
126,1,1,1,1,0.196078431,0.196078431,0.196078431,0.196078431,,,,,,,,FALSE,126
126,2,0.902298851,0.987179487,1.013157895,0.333333333,0.337662338,0.333333333,0.342105263,,,,,,,,FALSE,126
126,3,1,1,1,0.17989418,0.17989418,0.17989418,0.17989418,0.374167399,0.550958575,0.996671373,,,,,FALSE,126
134,1,0.977272727,1,1,0.227272727,0.228571429,0.228571429,0.228571429,,,,,,,,134,FALSE
134,2,0.985714286,1,1,0.2,0.2,0.2,0.2,,,,,,,,FALSE,134
134,3,0.935028249,1,1,0.333333333,0.333333333,0.333333333,0.333333333,0.558727683,0.640692522,0.965315543,,,,,FALSE,134
135,1,1,1,1,0.347826087,0.347826087,0.347826087,0.347826087,,,,,,,,FALSE,135
135,2,0.914035088,0.993333333,1.006756757,0.38245614,0.416107383,0.413333333,0.418918919,,,,,,,,135,FALSE
