PCM_Identifiers,entani論文のPerfectIncorporation,中心総和1のPerfectIncorporation,解の非唯一性考慮のPerfectIncorporation,entani論文のCommonGround,中心総和1のCommonGround,解の非唯一性考慮のCommonGround,entani論文のPartialIncorporation,中心総和1のPartialIncorporation,解の非唯一性考慮のPartialIncorporation
"Any[""Trial-78_PCM-1"", ""Trial-78_PCM-2"", ""Trial-78_PCM-3""]",20.962744579157896,145.4435198763881,20.724128597049152,Error,Error,Error,5.2733421002622825,5.21918743019047,4.865296044394152
"Any[""Trial-79_PCM-1"", ""Trial-79_PCM-2"", ""Trial-79_PCM-3""]",18.779127394546435,83.53618127132127,19.41202419956371,Error,Error,Error,5.786679261556274,6.194087363636609,5.653138194887727
"Any[""Trial-80_PCM-1"", ""Trial-80_PCM-2"", ""Trial-80_PCM-3""]",23.5443941433658,24.58379085212405,23.551112033354677,Error,Error,Error,3.7840748359262903,3.4940780278877273,3.3486089841391813
"Any[""Trial-81_PCM-1"", ""Trial-81_PCM-2"", ""Trial-81_PCM-3""]",20.65822595547495,83.7034241785142,20.48154112770584,Error,Error,Error,5.5451757974796045,7.256214351490733,5.545174102388382
"Any[""Trial-82_PCM-1"", ""Trial-82_PCM-2"", ""Trial-82_PCM-3""]",18.44294577767883,83.2226443703226,17.229748769178386,Error,Error,Error,5.908495922576135,8.73977639161125,5.303449845723494
"Any[""Trial-83_PCM-1"", ""Trial-83_PCM-2"", ""Trial-83_PCM-3""]",20.042539132544626,19.9591932063243,19.79630766988856,Error,Error,Error,4.431825922879829,3.4533349182617883,4.035622137490931
"Any[""Trial-84_PCM-1"", ""Trial-84_PCM-2"", ""Trial-84_PCM-3""]",18.849632614068113,19.80829124306208,18.84963269567845,Error,Error,Error,7.311336103083234,7.097665981082556,6.942183137518162
"Any[""Trial-85_PCM-1"", ""Trial-85_PCM-2"", ""Trial-85_PCM-3""]",13.572000706289352,14.259872133732834,14.188602372679902,Error,Error,Error,3.9937222705787794,3.5652315328130753,4.5507709082912235
"Any[""Trial-86_PCM-1"", ""Trial-86_PCM-2"", ""Trial-86_PCM-3""]",15.697366670641674,85.66554322553615,15.955520587016306,Error,Error,Error,6.59012935579605,5.377156837656087,4.831451696708067
"Any[""Trial-87_PCM-1"", ""Trial-87_PCM-2"", ""Trial-87_PCM-3""]",16.02454667598828,85.4289547892393,16.558672066483297,Error,Error,Error,4.1257183176101675,3.890108080400792,3.840826876976537
